Номер	Описание неисправности	SPN	FMI	Blink-Code				OBD2
309	Незамкнутая цепь форсунки 3	1415	5	1	4	3	P0135	P0203
310	Незамкнутая цепь форсунки 4	1416	5	1	4	4	P0136	P0204
311	Незамкнутая цепь форсунки 5	1417	5	1	4	5	P0137	P0205
312	Незамкнутая цепь форсунки 6	1418	5	1	4	6	P0138	P0206
313	Ошибка форсунки 1 (Без определения, просто сохраняется)	1413	11	1	4	1	P0139	P0263
314	Ошибка форсунки 2 (Без определения, просто сохраняется)	1414	11	1	4	2	P013A	P0266
315	Ошибка форсунки 3 (Без определения, просто сохраняется)	1415	11	1	4	3	P013B	P0269
316	Ошибка форсунки 4 (Без определения, просто сохраняется)	1416	11	1	4	4	P013C	P0272
317	Ошибка форсунки 5 (Без определения, просто сохраняется)	1417	11	1	4	5	P013D	P0275
318	Ошибка форсунки 6 (Без определения, просто сохраняется)	1418	11	1	4	6	P013E	P0278
319	Короткое замыкание форсунки 1	1413	3	1	4	1	P013F	P0262
320	Короткое замыкание форсунки 2	1414	3	1	4	2	P0140	P0265
321	Короткое замыкание форсунки 3	1415	3	1	4	3	P0141	P0268
322	Короткое замыкание форсунки 4	1416	3	1	4	4	P0142	P0271
323	Короткое замыкание форсунки 5	1417	3	1	4	5	P0143	P0274
324	Короткое замыкание форсунки 6	1418	3	1	4	6	P0144	P0277
325	1Короткое замыкание нижнего либо верхнего конца форсунки 1	1413	4	1	4	1	P0145	P0261
326	2Короткое замыкание нижнего либо верхнего конца форсунки 2	1414	4	1	4	2	P0146	P0264
327	3Короткое замыкание нижнего либо верхнего конца форсунки 3	1415	4	1	4	3	P0147	P0267
328	4Короткое замыкание нижнего либо верхнего конца форсунки 4	1416	4	1	4	4	P0148	P0270
329	5Короткое замыкание нижнего либо верхнего конца форсунки 5	1417	4	1	4	5	P0149	P0273
330	6Короткое замыкание нижнего либо верхнего конца форсунки 6	1418	4	1	4	6	P014A	P0276
331	PTO Напряжение на переключателе PTO выше максимального предела	976	3	3	4	5	P014B	P251C
332	Плохое соединение модуля измерения уровня топлива с ECU	1442	2	1	3	3	P014C	P0251
333	Незамкнутая цепь модуля измерения уровня топлива	1442	5	1	3	3	P014D	P0251
334	Перегрев модуля измерения уровня топлива	1442	6	1	3	3	P014E	P0252
335	Короткое замыкание источника питания верхнего конца модуля измерения уровня топлива	1442	15	1	3	3	P014F	P0254
336	Короткое замыкание земли верхнего конца модуля измерения уровня топлива	1442	17	1	3	3	P0150	P0253
337	Короткое замыкание источника питания драйвера нижнего конца модуля измерения уровня топлива	1442	16	1	3	3	P0151	P0254
338	Короткое замыкание земли драйвера нижнего конца модуля измерения уровня топлива	1442	18	1	3	3	P0152	P0253
339	Напряжение сигнала обратной связи модуля измерения уровня топлива выше максимального предела	1442	3	1	3	3	P0153	P0254
340	Напряжение сигнала обратной связи модуля измерения уровня топлива ниже минимального предела	1442	4	1	3	3	P0154	P0253
341	MIL Лампа MIL без нагрузки	520219	5	3	3	1	P0155	P0650
342	MIL Лампа MIL без нагрузки	520219	6	3	3	1	P0156	P0650
343	MIL Лампа MIL без нагрузки	520219	3	3	3	1	P0157	P0650
344	MIL Лампа MIL без нагрузки	520219	4	3	3	1	P0158	P0650
345	Напряжение на Переключателе PTO ниже минимального предела	976	4	3	4	5	P0159	P251B
346	Ошибка преобразования цифро-аналоговой информации	520220	2	2	6	2	P015A	P060B
347	Ошибка преобразования цифро-аналоговой информации	520220	11	2	6	2	P015B	P060B
348	Ошибка коэффициента преобразования цифро-аналоговой информации	520220	14	2	6	2	P015C	P060B
349	Ошибка связи модуля контроля и CPU	520221	11	2	6	2	P015D	P060C
350	Ошибка связи модуля контроля и CPU	520222	11	2	6	2	P015E	P060C
351	Ошибка оперативной памяти ECU	520223	11	2	6	2	P015F	P060C
352	Ошибка связи модуля контроля и CPU	520290	11	2	6	3	P0160	P060C
353	Ошибка связи модуля контроля и CPU	520290	20	2	6	3	P0161	P060C
354	Ошибка связи модуля контроля и CPU	520290	21	2	6	3	P0162	P060C
355	Ошибка связи модуля контроля и CPU	520290	22	2	6	3	P0163	P060C
356	Ошибка связи модуля контроля и CPU	520290	23	2	6	3	P0164	P060C
357	Ошибка связи модуля контроля и CPU	520290	24	2	6	3	P0165	P060C
358	Ошибка связи модуля контроля и CPU	520290	25	2	6	3	P0166	P060C
359	Ошибка связи модуля контроля и CPU	520290	26	2	6	3	P0167	P060C
360	Ошибка связи модуля контроля и CPU	520290	27	2	6	3	P0168	P060C
361	Ошибка связи модуля контроля и CPU	520290	3	2	6	3	P0169	P060C
362	Несовместимые 2 напряжения педали акселератора	520224	11	2	6	4	P016A	P1012
363	Неверный сигнал рабочих оборотов двигателя	520225	11	2	6	4	P016B	P1013
364	Неверный сигнал форсунки в момент включения питания	520226	11	2	6	4	P016C	P1014
365	Неверный сигнал опережения впрыска	520227	11	2	6	4	P016D	P1015
366	Неверный сигнал нулевого уровня топлива в момент включения питания	520228	11	2	6	4	P016E	P1016
367	Неверный сигнал эффективности после впрыска 2	520229	11	2	6	4	P016F	P1017
368	Ошибка закрытия 2 после впрыска	520229	14	2	6	4	P0170	P1018
369	Неверный сигнал эффективности после впрыска 3	520230	11	2	6	4	P0171	P1019
370	При Overrun время включения питания превышает максисмальное значение	1108	16	2	6	1	P0172	P101A
371	Неверный сигнал коррекции объема впрыска	520231	11	2	6	4	P0173	P101B
372	Ошибка давления в рампе	520232	11	2	6	4	P0174	P101C
373	Несовместимые 2 напряжения дальнего хода педали акселератора	520276	11	2	6	4	P0175	P1045
374	Несовместимый реальный крутящий момент двигателя с разрешенным	520233	11	2	6	4	P0176	P101D
375	Давление в топливной рампе ограничено функцией блока контроля крутящего момента	520234	11	2	6	4	P0177	P101E
376	Система воздухоподачи ограничена функцией блока контроля крутящего момента	520234	20	2	6	4	P0178	P101F
377	Уровень впрыскиваемого топлива ограничен функцией блока контроля крутящего момента	520234	21	2	6	4	P0179	P1020
378	Напряжение блока электроснабжения 1 превышает максимальное значение	520235	11	2	6	5	P017A	P1600
379	Напряжение блока электроснабжения 1 ниже минимального значения	520235	20	2	6	5	P017B	P1601
380	Раннее включение главного реле после включения ECU	3508	7	1	2	5	P017C	P068A
381	Позднее включение главного реле	3508	12	1	2	5	P017D	P068B
382	Ошибка подачи электроэнергии датчика нижнее положение	3220	5	4	2	1	P017E	P2200
383	Неверная компенсация сигнала датчика нижнее положение нижнее положение	3217	2	4	2	1	P017F	P2201
384	Неверный сигнал датчика нижнее положение	3216	11	4	2	1	P0180	P2204
385	Напряжение lambda датчика выше максимального значения (нижнее положение)	3217	15	4	2	1	P0181	P2200
386	lambda Напряжение lambda датчика ниже минимального значения (нижнее положение)	3217	17	4	2	1	P0182	P2200
387	Напряжение lambda датчика выше максимального значения (нижнее положение)	3217	16	4	2	1	P0183	P2200
388	lambda Напряжение lambda датчика ниже минимального значения (нижнее положение)	3217	18	4	2	1	P0184	P2200
389	lambda Сигнал lambda датчика выше максимального значения (нижнее положение)	3217	0	4	2	1	P0185	P2200
390	lambda Напряжение сигнала lambda датчика ниже минимального предела (нижнее положение)	3217	1	4	2	1	P0186	P2200
391	Максимальное отклонение сигнала lambda датчика выше максимального предела	3220	0	4	2	1	P0187	P2201
392	Минимальное отклонение сигнала lambda датчика ниже минимального предела (нижнее положение)	3220	1	4	2	1	P0188	P2201
393	Среднее отклонение сигнала lambda датчика выше максимального предела (нижнее положение)	3220	15	4	2	1	P0189	P2201
394	Среднее отклонение сигнала lambda датчика ниже минимального предела (нижнее положение)	3220	17	4	2	1	P018A	P2201
395	Неверный сигнал датчика (нижнее положение)	3216	18	4	2	1	P018B	P2201
396	Неверное состояние сигнала датчика (нижнее положение)	3216	19	4	2	1	P018C	P2200
397	Сигнал датчика выше максимального предела (нижнее положение)	3216	0	4	2	1	P018D	P2201
398	Сигнал датчика ниже минимального предела (нижнее положение)	3216	1	4	2	1	P018E	P2201
399	Открытая цепь сигнала датчика (нижнее положение)	3216	5	4	2	1	P018F	P2200
400	Короткое замыкание сигнала датчика (нижнее положение)	3216	3	4	2	1	P0190	P2200
401	PTO Неверное напряжение переключателя PTO	976	19	3	4	5	P0191	P253E
402	Ошибка электроснабжения датчика	523101	27	4	8	4	P0192	P0000
403	Неправильная компенсация сигнала датчика	523101	20	4	8	4	P0193	P0000
404	Ошибка проверки состояния сигнала датчика	523101	29	4	8	4	P0194	P0000
405	Ошибка проверки состояния сигнала датчика	523101	28	4	8	4	P0195	P0000
406	Неверный сигнал датчика верхнего уровня	523101	12	4	8	4	P0196	P0000
407	lambda Напряжение сигнала lambda датчика верхнего уровня выше максимального предела	523101	15	4	8	4	P0197	P0000
408	lambda Напряжение сигнала lambda датчика верхнего уровня ниже минимального предела	523101	17	4	8	4	P0198	P0000
409	lambda Напряжение сигнала lambda датчика верхнего уровня выше максимального предела	523101	16	4	8	4	P0199	P0000
410	lambda Напряжение сигнала lambda датчика верхнего уровня ниже минимального предела	523101	18	4	8	4	P019A	P0000
411	lambda Сигнал lambda датчика верхнего уровня выше максимального предела	523101	21	4	8	4	P019B	P0000
412	lambda Сигнал lambda датчика верхнего уровня ниже минимального предела	523101	22	4	8	4	P019C	P0000
413	Максимальное отклонение сигнала датчика верхнего уровня выше максимального предела	523101	23	4	8	4	P019D	P0000
414	Минимальное отклонение сигнала датчика верхнего уровня ниже минимального предела	523101	24	4	8	4	P019E	P0000
415	Среднее отклонение сигнала датчика верхнего уровня выше максимального предела	523101	25	4	8	4	P019F	P0000
416	Среднее отклонение сигнала датчика верхнего уровня ниже минимального предела	523101	26	4	8	4	P01A0	P0000
417	Неверный сигнал датчика верхнего уровня	523101	2	4	8	4	P01A1	P0000
418	Неверный сигнал положения датчика верхнего уровня	523101	12	4	8	4	P01A2	P0000
419	Сигнал датчика верхнего положения выше максимального предела	523101	0	4	8	4	P01A3	P0000
420	Сигнал датчика верхнего положения ниже минимального предела	523101	1	4	8	4	P01A4	P0000
421	Открытая цепь сигнала датчика верхнего положения	523101	5	4	8	4	P01A5	P0000
422	Короткое замыкание сигнала датчика верхнего положения	523101	3	4	8	4	P01A6	P0000
423	Ошибка удаления кода из хранилища	520237	11	4	8	5	P01A7	P1021
424	Ошибка удаления кода из хранилища	520237	28	4	8	5	P01A8	P1022
425	Ошибка удаления кода из хранилища	520237	29	4	8	5	P01A9	P1023
426	Ошибка удаления кода из хранилища	520237	12	4	8	5	P01AA	P1024
427	Ошибка удаления кода из хранилища	520237	13	4	8	5	P01AB	P1025
428	Ошибка удаления кода из хранилища	520237	14	4	8	5	P01AC	P1026
429	Ошибка удаления кода из хранилища	520237	15	4	8	5	P01AD	P1027
430	Ошибка удаления кода из хранилища	520237	16	4	8	5	P01AE	P1028
431	Ошибка удаления кода из хранилища	520237	20	4	8	5	P01AF	P1029
432	Ошибка удаления кода из хранилища	520237	21	4	8	5	P01B0	P102A
433	Ошибка удаления кода из хранилища	520237	22	4	8	5	P01B1	P102B
434	Ошибка удаления кода из хранилища	520237	23	4	8	5	P01B2	P102C
435	Ошибка удаления кода из хранилища	520237	24	4	8	5	P01B3	P102D
436	Ошибка удаления кода из хранилища	520237	25	4	8	5	P01B4	P102E
437	Ошибка удаления кода из хранилища	520237	26	4	8	5	P01B5	P102F
438	Ошибка удаления кода из хранилища	520237	27	4	8	5	P01B6	P1030
439	Ошибка активации WDA	520238	11	1	1	1	P01B7	P060C
440	Ошибка низкое напряжение WDA/ABE	520238	4	1	1	1	P01B8	P060C
441	Проверка напряжения WDA/ABE	520238	3	1	1	1	P01B9	P060C
442	Неизвестная ошибка WDA/ABE	520238	14	1	1	1	P01BA	P060C
443	Напряжение сигнала уровня масла выше максимального предела	98	3	2	4	6	P01BB	P250D
444	Напряжение сигнала уровня масла ниже минимального предела	98	4	2	4	6	P01BC	P250C
445	Неверный сигнал напряжения уровня масла в двигателе	98	2	2	4	6	P01BD	P250B
446	Сигнал уровня масла выше максимального значения	98	0	2	4	6	P01BE	P252F
447	Сигнал уровня масла ниже минимального значения	98	1	2	4	6	P01BF	P250F
448	Открытая цепь индикатора давления масла в двигателе	100	5	3	3	4	P01C0	P160B
449	Температура индикатора давления масла в двигателе выше нормы	100	6	3	3	4	P01C1	P160C
450	Короткое замыкание источника питания индикатора давления масла в двигателе	100	3	3	3	4	P01C2	P160D
451	Короткое замыкание земли индикатора давления масла в двигателе	100	4	3	3	4	P01C3	P160E
452	Ошибка сигнала давления масла в двигателе	100	1	2	4	3	P01C4	P0524
453	Неверный сигнал давления масла в двигателе	100	2	2	4	3	P01C5	P0521
454	Давление масла в двигателе выше максимального предела	100	15	2	4	3	P01C6	P0523
455	Давление масла в двигателе ниже минимального предела	100	17	2	4	3	P01C7	P0524
456	CAN Ошибка сигнала CAN давления масла в двигателе	100	19	2	4	3	P01C8	P0520
457	Напряжение сигнала давления масла выше максимального предела	100	16	2	4	3	P01C9	P0523
458	Напряжение сигнала давления масла ниже минимального предела	100	18	2	4	3	P01CA	P0522
459	Сигнал температуры масла выше максимального предела	175	15	2	4	4	P01CB	P0196
460	CAN Ошибка сигнала CAN температуры масла в двигателе	175	19	2	4	4	P01CC	U1403
461	Напряжение сигнала температуры масла выше максимального предела	175	3	2	4	4	P01CD	P0198
462	Напряжение сигнала температуры масла ниже минимального предела	175	4	2	4	4	P01CE	P0197
463	Неверный сигнал температуры масла	175	2	2	4	4	P01CF	P0196
464	Положительное отклонение давления турбины выше максимального предела	1127	0	2	8	2	P01D0	P2263
465	Отрицательное отклонение давления турбины выше максимального предела	1127	1	2	8	2	P01D1	P2263
466	Неоднородное изменение крутящего момента уровня масла	520240	13	0	0	0	P01D2	P1031
467	Сигнал давления впускаемого воздуха верхнего предела выше максимального значения	102	0	2	3	1	P01D3	P006D
468	Сигнал давления впускаемого воздуха верхнего предела ниже минимального значения	102	1	2	3	1	P01D4	P006D
469	Сигнал напряжения давления впускаемого воздуха выше максимального предела	102	3	2	3	1	P01D5	P0238
470	Сигнал напряжения давления впускаемого воздуха ниже минимального предела	102	4	2	3	1	P01D6	P0237
471	Засор фильтра твердых частиц POC	81	0	4	7	1	P01D7	P0000
472	Удаление фильтра твердых частиц POC	81	1	4	7	2	P01D8	P0000
473	Сигнал перепада давления фильтра твердых частиц POC выше максимального предела	81	15	4	7	3	P01D9	P0000
474	Сигнал перепада давления фильтра твердых частиц POC ниже минимального предела	81	17	4	7	3	P01DA	P0000
475	AfterRun Сигнал перепада давления напряжения фильтра твердых частиц при AfterRun выше максимального предела	81	2	4	7	3	P01DB	P0000
476	CAN Ошибка сигнала фильтра твердых частиц POCCAN	81	19	4	7	3	P01DC	P0000
477	Сигнал напряжения перепада давления фильтра твердых частиц POC выше максимального предела	81	3	4	7	3	P01DD	P0000
478	Сигнал напряжения перепада давления фильтра твердых частиц POC ниже минимального предела	81	4	4	7	3	P01DE	P0000
479	Частота открывания предохранительного клапана достигла либо превысила максимальное значение	520241	11	1	3	4	P01DF	P0089
480	Давление в топливной рампе привело к открытию предохранительного клапана	520241	20	0	0	0	P01E0	P0089
481	Вибрация в топливной рампе привела к открытию предохранительного клапана	520241	21	0	0	0	P01E1	P0089
482	Открытие предохранительного клапана	520241	14	1	3	5	P01E2	P0089
483	Ошибка баланса уровня топлива в момент открытия предохранительного клапана	520241	22	1	3	6	P01E3	P1036
484	Среднее давление в рампе превосходит допустимые пределы	520241	2	1	3	6	P01E4	P1037
485	Время открытия предохранительного крана превзошло предел	520241	0	1	3	6	P01E5	P0089
486	Ошибка блока контроля электроснабжения внутренней части ECU	520242	11	1	1	1	P01E6	P060C
487	Прямое отклонение блока контроля топливной рампы выше максимального значения	520243	0	2	5	1	P01E7	P0251
488	Уровень топлива в ТНВД выше максимального предела, есть течь топлива	520243	7	2	5	2	P01E8	P0251
489	Отрицательное отклонение блока контроля малого насоса в топливной рампе выше первого ограничения	520243	1	2	5	5	P01E9	P0251
490	Отрицательное отклонение блока контроля малого насоса в топливной рампе выше первого ограничения	520243	2	2	5	3	P01EA	P0251
491	Давление в топливной рампе ниже минимального значения	520243	20	2	5	6	P01EB	P0087
492	Давление в топливной рампе выше первого ограничения	520243	21	2	7	1	P01EC	P0088
493	Давление в топливной рампе выше второго ограничения	520243	22	2	7	2	P01ED	P0088
494	В режиме OverRun уровень топлива в ТНВД выше максимального предела	520243	23	2	7	3	P01EE	P1050
495	При низких холостых оборотах установленный уровень топлива в ТНВД выше минимальной отметки	520243	24	2	7	4	P01EF	P0251
496	Изменение давления в топливной рампе превосходит максимальный предел допустимой частоты	520243	25	2	7	5	P01F0	P0194
497	Прямое отклонение давления в топливной рампе выше максимального значения	157	15	1	3	2	P01F1	P0191
498	Прямое отклонение давления в топливной рампе ниже минимального значения	157	17	1	3	2	P01F2	P0191
499	Давление в топливной рампе превосходит масимально допустимые пределы	520265	0	1	3	6	P01F3	P0088
500	Напряжение сигнала датчика давления в топливной рампе превышает максимальный предел	157	3	1	3	1	P01F4	P0193
501	Напряжение сигнала датчикадавления в топливной рампе ниже минимального значения	157	4	1	3	1	P01F5	P0192
502	Ошибка регулировки уровня мочевины в впрыскиваемом объеме топлива	3516	2	4	3	4	P01F6	P203B
503	Период самоадаптации SCR превосходит предел	523026	0	4	3	5	P01F7	P3051
504	Период самоадаптации SCR ниже установленного предела	523026	1	4	3	5	P01F8	P3052
505	Низкая средняя эффективность фактического преобразования SCR	523004	0	0	0	0	P01F9	P0420
506	Средняя эффективность фактического преобразования SCR ниже уровня 1, выхлоп превосходит 5	523004	15	4	3	1	P01FA	P0420
507	Средняя эффективность фактического преобразования SCR ниже уровня 2, выхлоп превосходит 7	523004	16	4	3	2	P01FB	P0420
508	Неверный сигнал проверки пика сигнала датчика нижнего уровня SCR	3216	2	4	2	1	P01FC	P2214
509	Разница сигналов датчиков верхнего и нижнего уровней датчика SCR выше максимального уровня	3216	15	4	2	1	P01FD	P2214
510	Разница сигналов датчиков верхнего и нижнего уровней датчика SCR ниже минимального уровня	3216	17	4	2	1	P01FE	P2214
511	Неверный сигнал проверки отклонения сигнала датчика нижнего уровня SCR	3216	12	4	2	1	P01FF	P2214
512	Разница сигналов датчиков верхнего и нижнего уровней датчика SCR выше максимального уровня	3226	15	4	2	2	P0200	P2201
513	Разница сигналов датчиков верхнего и нижнего уровней датчика SCR ниже минимального уровня	3226	17	4	2	2	P0201	P2201
514	Мочевина не поступает в впрыскиваемое топливо	523006	11	4	3	6	P0202	P3042
515	Остатка уровня мочевины недостаточно	1761	11	4	3	8	P0203	P3062
516	Остаточный уровень мочевины ниже уровня предостережения 1	1761	20	4	3	8	P0204	P3063
517	Остаточный уровень мочевины ниже уровня предостережения 2	1761	21	4	3	8	P0205	P3064
518	Ошибка контроля хранения аммиака SCR	532104	2	4	3	7	P0206	P3065
519	Ошибка обратного трубопровода мочевины SCR	523007	2	4	4	1	P0207	P3050
520	Ошибка падения давления впрыска мочевины SCR	523007	20	4	4	1	P0208	P3053
521	SCRОшибка давления впрыска мочевины SCR	523007	21	4	4	1	P0209	P3054
522	Температура внутри ECU выше максимального предела	523011	0	1	1	9	P020A	P0669
523	Отсутсвие опорожнения системы SCR в конце ездового цикла	523009	0	4	4	7	P020B	P3015
524	Превышение давления впрыска мочевины в блоке управления уровня мочевины SCR	523010	0	4	4	2	P020C	P3039
525	Низкое давление впрыска мочевины в блоке управления уровня мочевины SCR	523010	1	4	4	3	P020D	P3056
526	Превышение давления впрыска мочевины после охлаждения насоса мочевины SCR	1387	0	4	4	2	P020E	P3039
527	Ошибка давления мочевины SCR	1387	2	4	4	1	P020F	P3040
528	Ошибка понижения давления SCR	523025	2	4	4	1	P0210	P3049
529	SCRПосле понижения давления, давление мочевины в системе SCR ниже минмального предела	1387	0	4	4	1	P0211	P3041
530	Перегрев бака мочевины	3031	14	4	4	6	P0212	P2043
531	Неверная температура внутреннего блока ECU	523011	2	1	1	9	P0213	P0667
532	SCR Неверный сигнал превышения масимального предела температуры датчика SCR верхнего уровня	4360	0	4	4	4	P0214	P0426
533	SCR Неверный сигнал превышения минимального предела температуры датчика SCR верхнего уровня	4360	1	4	4	4	P0215	P0426
534	SCR Неверный сигнал температуры температурного датчика SCR верхнего уровня	4360	2	4	4	4	P0216	P0426
535	Засор распылителя форсунки мочевины SCR	3361	2	4	5	3	P0217	P2047
536	Засор обратного клапана насоса мочевины SCR	523014	2	4	5	3	P0218	P3014
537	Слишком большой расход мочевины	1761	0	4	4	5	P0219	P3066
538	Слишком малый раход мочевины	1761	1	4	4	5	P021A	P3067
539	Ошибка функции PUQP системы SCR	523015	2	4	4	1	P021B	P3000
540	SCR Неверный обогрев насоса мочевины SCR	4355	20	4	5	5	P021C	P3057
541	SCR Неверное положение датчика температуры обогрева насоса мочевины SCR	4355	21	4	5	5	P021D	P3058
542	SCR неверный сигнал датчика температуры обогрева насоса мочевины во время холодного пуска	4355	22	4	5	5	P021E	P3059
543	SCR Неверное состояние датчика температуры мочевины SCR	523017	2	4	5	6	P021F	P3060
544	SCR Неверный сигнал датчика температуры мочевины SCR во время холодного пуска	523017	20	4	5	6	P0220	P3061
545	Ошибка повышения температуры бака мочевины SCR	3031	2	4	4	6	P0221	P203B
546	Количество повторных запусков SCR превышает допустимый предел	532103	11	4	3	8	P0222	P2068
547	Ошибка сообщения CAN переключателя PTO	976	20	3	4	5	P0223	U1404
548	Продолжительность включения обогревателя насоса мочевины SCR в диапазоне ошибок	4355	9	4	5	5	P0224	P3029
549	Продолжительность включения обогревателя насоса мочевины SCR в недопустимом диапазоне	4355	8	4	5	5	P0225	P3029
550	Отказ модуля измерения температуры мочевины насоса SCR	523017	11	4	5	4	P0226	P3038
551	PWM Принимаемый SCR насос мочевины PWM цикл находится в недопустимом диапазоне	523017	21	4	5	4	P0227	P2062
552	SCRPWM Ошиька синала PWM насоса мочевины	523017	8	4	5	4	P0228	P2062
553	Продолжительность включения температуры насоса мочевины SCR в ошибочных пределах	523017	9	4	5	6	P0229	P3029
554	Продолжительность включения температуры насоса мочевины SCR в недопустимом диапазоне	523017	10	4	5	6	P022A	P3029
555	1 Напряжение педали 1 выше максимального предела	91	3	2	2	1	P022B	P0123
556	2 Напряжение педали 2 выше максимального предела	29	3	2	2	1	P022C	P0223
557	1 Напряжение длинного хода педали 1 выше максимального предела	520277	3	2	2	9	P022D	P1501
558	2 Напряжение длинного хода педали 2 выше максимального предела	520278	3	2	2	9	P022E	P1502
559	1 Напряжение педали 1 ниже минимального предела	91	4	2	2	1	P022F	P0122
560	2 Напряжение педали 2 ниже минимального предела	29	4	2	2	1	P0230	P0222
561	1 Напряжение длинного хода педали 1 ниже минимального предела	520277	4	2	2	9	P0231	P1503
562	2 Напряжение длинного хода педали 2 ниже минимального предела	520278	4	2	2	9	P0232	P1504
563	Напряжение датчика уровня мочевины выше максимального значения	1761	3	4	4	5	P0233	P203D
564	Напряжение датчика уровня мочевины ниже минимального значения	1761	4	4	4	5	P0234	P203C
565	1 Ошибка энергоснабжения датчика 1	3509	2	1	1	2	P0235	P0643
566	2 Ошибка энергоснабжения датчика 2	3510	2	1	1	2	P0236	P0653
567	3 Ошибка энергоснабжения датчика 3	3511	2	1	1	2	P0237	P0699
568	Слишком высокая энергоподача датчика 12V	3512	3	1	1	3	P0238	P1602
569	Слишком низкая энергоподача датчика 12V	3512	4	1	1	3	P0239	P1603
570	Слишком высокая энергоподача внутренней части датчика 12 V	3513	3	1	1	3	P023A	P1602
571	Слишком низкая энергоподача внутренней части датчика 12 V	3513	4	1	1	3	P023B	P1603
572	Ошибка точности таймера рассчета парковки	520248	11	1	1	1	P023C	P060C
573	Нет нагрузки индикатора остановки машины	520279	5	3	3	5	P023D	P160F
574	Превышение температуры индикатора остановки машины	520279	6	3	3	5	P023E	P1610
575	Короткое замыкание источника питания индикатора остановки машины	520279	3	3	3	5	P023F	P1611
576	Короткое замыкание земли индикатора остановки машины	520279	4	3	3	5	P0240	P1612
577	Нет нагрузки стартера	1675	5	1	2	1	P0241	P0615
578	Превышение пусковой температуры стартера	1675	6	1	2	1	P0242	P0615
579	Короткое замыкание источника питания реле стартера	1675	3	1	2	1	P0243	P0617
580	Короткое замыкание земли реле стартера	1675	4	1	2	1	P0244	P0616
581	Нет нагрузки при запуске диагностических индикаторов	520250	5	3	3	3	P0245	P1604
582	Превышение температуры пуска диагностических индикаторов	520250	6	3	3	3	P0246	P1605
583	Короткое замыкание источника питания диагностического индикатора	520250	3	3	3	3	P0247	P1606
584	Короткое замыкание земли диагностического индикатора	520250	4	3	3	3	P0248	P1607
585	Сброс 0 программы диагностики неисправностей	520251	11	1	1	8	P0249	P1608
586	Сброс 1программы диагностики неисправностей	520251	20	1	1	8	P024A	P1609
587	Сброс 2 программы диагностики неисправностей	520251	21	1	1	8	P024B	P160A
588	Слишком большая разница между сигналами напряжения педали 1 и педали 2	520252	2	2	2	1	P024C	P2135
589	Неверный сигнал напряжения между педалью1, педалью 2 и переключателем холостого хода	558	2	2	2	1	P024D	P2135
590	Слишком большая разница между сигналами напряжения педали длинного хода 1 и педали длинного хода 2	520280	2	2	2	9	P024E	P1505
591	T50 Ошибка переключателя Т50	520253	11	3	4	5	P024F	P2530
592	Частота сигнала датчика температуры воздуха выше максимального предела	172	0	2	3	4	P0250	P0113
593	Частота сигнала датчика температуры воздуха ниже минимального предела	172	1	2	3	4	P0251	P0112
594	Сигнал времени датчика температуры воздуха выше максимального значения	172	15	2	3	4	P0252	P0113
595	Сигнал времени датчика температуры воздуха ниже минимального значения	172	17	2	3	4	P0253	P0112
596	Ошибка связи CAN сигнала температуры впускного воздуха после охлаждения	105	19	2	3	3	P0254	P0099
597	Сигнал напряжения датчика температуры впускного воздуха после охлаждения выше максимального предела	105	3	2	3	3	P0255	P0098
598	Сигнал напряжения датчика температуры впускного воздуха после охлаждения ниже минимального предела	105	4	2	3	3	P0256	P0097
599	Неверная температура впускного воздуха после охлаждения	105	2	2	3	3	P0257	P0096
600	Сигнал напряжения датчика температуры внутренней части ECU выше максимального предела	1136	3	1	1	9	P0258	P0669
601	Сигнал напряжения датчика температуры внутренней части ECU ниже минимального предела	1136	4	1	1	9	P0259	P0668
602	Активация ограничения электротока клапана воздушной заслонки	51	6	3	6	1	P025A	P0000
603	Напряжение клапана воздушной заслонки в закрытом положении выше максимального предела	51	17	3	6	2	P025B	P0000
604	Напряжение клапана воздушной заслонки в открытом положении выше максимального предела	51	15	3	6	2	P025C	P0000
605	Разница напряжения клпана воздушной заслонки превышает допустимые рамки	51	2	3	6	2	P025D	P0000
606	Ошибка холодного пуска клапана воздушной заслонки	51	12	3	6	3	P025E	P0000
607	Прямое отклонение воздушной заслонки превышает максимальное значение	51	18	3	6	3	P025F	P0000
608	Прямое отклонение воздушной заслонки превышает минимальное значение	51	16	3	6	3	P0260	P0000
609	Засор клапана воздушной заслонки	51	1	3	6	3	P0261	P0000
610	Засор клапана воздушной заслонки	51	0	3	6	3	P0262	P0000
611	Клапан воздушной заслонки в закрытом состоянии в течении длительного времени находится в свободном положении	51	8	3	6	2	P0263	P0000
612	Клапан воздушной заслонки в открытом состоянии в течении длительного времени находится в свободном положении	51	9	3	6	2	P0264	P0000
613	Незамкнутая цепь клапана воздушной заслонки	51	5	3	6	4	P0265	P0000
614	Перегрев клапана воздушной заслонки	51	24	3	6	4	P0266	P0000
615	Высокое напряжение датчика клапана воздушной заслонки	51	20	3	6	5	P0267	P0000
616	Низкое напряжение датчика клапана воздушной заслонки	51	21	3	6	5	P0268	P0000
617	Короткое замыкание источника питания клапана воздушной заслонки	51	3	3	6	4	P0269	P0000
618	Короткое замыкание земли клапана воздушной заслонки	51	4	3	6	4	P026A	P0000
619	Клапан воздушной заслонки в закрытом положении в течение короткого времени находится в свободном состоянии	51	22	3	6	2	P026B	P0000
